Position ID,Company,Position,Score
432850,Woodstock Farm Sanctuary,Animal Caregiving Co-op,35
424307,ANI Pharmaceuticals,Strategic Analytics Co-Op,75
437119,PhytogenX,Process Engineer Intern,40
429600,Penn Vet Working Dog Center,Applied Data Science: Using Big Data to Optimize Working Dog Selection,65
428563,Penn Vet Working Dog Center,Olfaction and Behavioral Science Research,30
350815,Penn Vet Working Dog Center,Applied Behavioral Science Co-op,35
437080,TOSOH BIOSCIENCE LLC,Student Co-Op-Column Technologies,35
430827,Century Therapeutics ,iPSC Biology Cell Therapy Research Co-op,30
430829,Century Therapeutics ,Cell Therapy iPSC Biology Process Co-op,45
342863,Philadelphia Water Department,"Aquatic Biology Laboratory & Water Analysis Laboratory Co-op/ Ivanna Szpilczak : Philadelphia, PA",30
313861,Philadelphia Water Department,PWD Southwest WPCP Laboratory Co-op /Emmanuela Gauthier,30
20703,Philadelphia Water Department,"PWD Aquatic Biology Laboratory and Water Analysis Laboratory Co-op/Ivanna Szpilczak:Philadelphia, PA",35
342860,Philadelphia Water Department,"PWD Co-op / Baxter Water Treatment Plant /Merlin Daniel/ Philadelphia, PA",25
342864,Philadelphia Water Department,"PWD Environmental Research Co-op/Steve Ostrowski: Philadelphia, PA",50
311858,Philadelphia Water Department,"PWD Northeast WPCP Laboratory Co-op / Jon Scaffidi/ Philadelphia, PA",35
387280,LandHealth Institute,Community Resilience Project Associate,10
399476,LandHealth Institute,River Science and Education Associate,30
363781,Philadelphia Water Department,"Office of Watersheds Environmental Restoration Co-op/Lance Butler/Philadelphia, PA",65
351219,Philadelphia Water Department,"Ecological Restoration Group Planning Co-op/Philadelphia, PA/Jiujia Guo/ Philadelphia, PA",45
420333,LandHealth Institute,Native Plant Nursery Associate,15
437021,GlaxoSmithKline,"Spring Co-op/Drug Substance + Drug Product Analysis (UPPER PROVIDENCE, PA) *STEYER",30
416960,Century Therapeutics ,Cell Therapy Molecular Assay Development Co-op,65
433311,Century Therapeutics ,Cell Therapy Analytical Development Co-op,25
426836,Century Therapeutics ,Cell Therapy In Vitro Pharmacology Co-op,20
414179,Children's Hospital of Philadelphia,22q Clinic Coordinator/ McDonald-McGinn,25
388179,Exelon,20967- T&S Chemistry Laboratory Assistant-PECO Co-op (Andrew Benner),45
436998,University of Pennsylvania,Optimization and characterization of novel in vitro and in vivo systems to study TDP-43 proteinopath,40
421156,Century Therapeutics ,Cell Therapy Translational Development Co-op,10
426809,Digitas Health ,"Associate, Regulatory Review, Digitas Health",75
434771,Children's Hospital of Philadelphia,Biorepository Core Research Co-op,35
398927,Century Therapeutics ,Cell Therapy Translational Research Co-op - Molecular Biology,35
430830,Century Therapeutics ,Cell Therapy Process and Product Development Co-op,25
433529,Century Therapeutics ,Cell Therapy Manufacturing Science and Technology Co-op,30
421146,Century Therapeutics ,iPSC Cell Therapy Research Co-op - Immunology,30
432430,University of Pennsylvania,Neurosurgery (Brain Tumor Core) Clinical Research Assistant,20
436939,Center for Interventional Pain and Spine,Medical Assistant,25
436937,University of Pennsylvania,Neurosurgery Clinical Research Assistant- Neuro ICU,40
436923,GlaxoSmithKline,"Spring Co-op/Research Science (BRANFORD,CT) *JASENOSKY",65
6276,Philadelphia Water Department,"PWD Co-op / Industrial Waste Unit/ Jennifer Moore, Philadelphia, PA",20
436910,Incyte Corporation ,"Myeloid Disease, Applied Technology, Co-op",40
436909,Incyte Corporation ,"Tumor Biology, Co-op",40
436905,Incyte Corporation ,"Myeloid Disease, Pharmacology, Co-op",20
436902,Incyte Corporation ,"Myeloid Disease, Antibody Pharmacology Co-op",25
372110,"Integral Molecular, Inc. ",Research Associate Co-op,10
382095,"Integral Molecular, Inc. ",Research Technician - Lab Management,40
277815,Philadelphia Water Department,"PWD Nutrient Analysis-Chemistry Lab Technician/Asha Chacko/Philadelphia, PA",40
337314,Philadelphia Water Department,"Queen Lane Drinking Water Plant Engineering Co-op/Hiral Amin/Philadelphia, PA",30
90778,Philadelphia Water Department,"Water Analysis & Metals Laboratory Co-op /  John Bain : Philadelphia, PA",20
430671,Philadelphia Water Department,"Ecological Design Engineering Co-Op / Neha Ghaisas / Philadelphia, PA",30
342871,Philadelphia Water Department,"PWD Co-op/Bureau of Lab Services - SRA/Tyler Bradley, Philadelphia, PA",55
436894,Criterion Lab Inc.,Industrial Hygienist,30
436881,Willistown Conservation Trust ,PolyGone Warrior Fellowship/Willistown Conservation Trust Co-op,30
436880,Children's Hospital of Philadelphia,Internal Communications Assistant,60
431041,Illume Fertility,Reproductive Science Assistant,30
429538,"AdMed, Inc.",Medical Content Co-op,45
436876,CERTAINTEED Corporation,CT R&D Gypsum - Raw Materials,50
430943,Thomas Jefferson University Hospital,Rehabilitation Aid,20
426804,Thomas Jefferson University Hospital,Rehabilitation Aide,25
436869,CERTAINTEED Corporation,IPG Testing Group - R&D Co-Op,20
436864,CERTAINTEED Corporation,CertainTeed Roofing R&D - Granules,40
59542,Estee Lauder/Northtec,Industrial Engineer Co-op (Manufacturing Operations),60
333676,Estee Lauder/Northtec,Quality Assurance Co-op (Keystone/Trevose Facility),30
277715,Estee Lauder/Northtec,Management Co-op (PADC Facility - Shipping),81
398942,Philadelphia Zoo,Animal Experience Assistant Co-op,30
428379,Chromatan ,Assistant Micro Fluidic / Controls Engineer,60
436808,GlaxoSmithKline,"Spring Co-op/Immunological Toxicology + Biomarkers (UPPER PROVIDENCE, PA) *WILLIAMS",40
426010,Drexel University - College of Medicine,Laboratory Assistant,30
436801,Drexel University,Therapy Aide/Physical Therapy Receptionist,15
436770,Academy of Natural Sciences,Trends in Insect Diversity at Valley Forge and Hopewell Furnace National Parks,15
436742,PolyGone Systems Inc,Lab Analyst Assistant,45
418620,Briar Bush Nature Center,Animal Care Co-op,20
429085,LANXESS Corporation,Research Associate,20
436738,Academy of Natural Sciences,Aquatic Entomology Technician,45
421348,Innophos,"Food and Bakery Applications, Research and Development Department",15
388136,Exelon,20966- Environmental Services- PECO co-op (Keith Kowalski),45
333574,Community College of Philadelphia,Biology Lab Technician,15
345904,Thomas Jefferson University,Research Technician,30
436709,GlaxoSmithKline,"Spring Co-op/Stem Cell Research (UPPER PROVIDENCE, PA) *TORRES",15
434810,Academy of Natural Sciences,"Bird Safe Philly Collision Monitor, Data Analyst, and Lab Assistant",20
423138,Academy of Natural Sciences,Entomology Database Editor,55
436702,Children's Hospital of Philadelphia,Student Clinical Assistant I – Research Cellular Therapy & Transplant Section (CTTS),45
436701,Children's Hospital of Philadelphia,Student Lab Assistant I – Research; Cellular Therapy & Transplant Section (CTTS),30
429827,West Pharmaceutical Services,"Quality Associate, Change Management Co-op",45
429894,West Pharmaceutical Services,"Quality Associate, Audit Management",65
429818,West Pharmaceutical Services,Quality Co-Op,40
429760,West Pharmaceutical Services,Life Sciences Jr Scientist,30
429758,West Pharmaceutical Services,Cell Culture Jr. Scientist,30
387054,Lankenau Institute for Medical Research,Molecular Genetics Fellow,10
423716,Thomas Jefferson University,"Clinical Research Assistant Co-op (Wilmington, DE)",30
436658,Children's Hospital of Philadelphia,Simulator Research Student/VG,76
436655,Children's Hospital of Philadelphia,Student Research Assistant/JM,40
429203,Lankenau Institute for Medical Research,LIMR Research Laboratory Student Technician,40
436630,Children's Hospital of Philadelphia,Student - Cellular Therapy & Transplant Section (CTTS) Regulatory & Quality,35
292901,"O'Keefe Chiropractic Center, P.A.","Physical Therapy Assistant/Medford, NJ",20
434637,Fleetwood Ophthalmology,Ophthalmic Technician,10
416699,Academy of Natural Sciences,Diatom Herbarium curatorial and research assistant,15
432030,Thomas Jefferson University,Research Assistant,40
426891,Drexel University,Research Assistant - WELL Center - Manasse Lab,50
429812,West Pharmaceutical Services,Analytical Lab Co-Op,25
436602,Drexel University,"Research Technician - insects, climate change and symbiosis",45
436596,West Pharmaceutical Services,Clinical Affairs Co-op,35
429091,Invisible Sentinel,QA Engineering Co-op,55
427041,Invisible Sentinel,Manufacturing Co-op,40
427039,Invisible Sentinel,QC Engineering Co-op,40
427261,Lankenau Institute for Medical Research,Research Assistant,40
411017,CenExel HRI,Clinical Research Assistant,40
398824,University of Pennsylvania,Medical Assistant - Level 2 Co-op Primary Care and Gynecological Care,20
367001,Drexel University,Biomedical Research Co-op,40
349154,Children's Hospital of Philadelphia,Clinical Research Assistant in Plastic and Reconstructive Surgery,15
418804,Jitsik LLC ,"Software Developer - Driving Simulation, Virtual Reality Startup",85
425604,University of Penn School of Medicine,Translational Research Assistant,30
436506,GlaxoSmithKline,"Spring Co-op/Global Medical Operations (DURHAM, NC)*STRODER",45
207961,Moss Rehab Hospital,Lab Assistant,45
429427,"Meadowbrook Pediatrics, PC",Medical Assistant,10
431742,University of Pennsylvania,"Administrative Assistant, School of Veterinary Medicine",45
436497,GlaxoSmithKline,"Spring Co-op/Discovery DMPK Bioanalysis (UPPER PROVIDENCE, PA)*EISENNAGEL",10
429931,University of Pennsylvania,Research Assistant,30
436489,Drexel University,"Exercise Science Lab Co-Op URA / Philadelphia, PA",35
387420,Rutgers University,Temporary Research Assistant (Panettieri Lab),40
42818,The Mentholatum Company R&D Site,Formulation Development Scientist Co-op,35
352918,Rutgers University,Temporary Clinical Research Assistant (Unpaid position),10
342290,Rutgers University,Temporary Research Assistant (Panettieri Lab-Unpaid position),10
436485,Syensqo ,Co-op Scientist - Electric Vehicle Lubricants,40
436484,Syensqo ,Coatings/Formulations Laboratory,20
426733,National Disease Research Interchange,Biomedical Researcher Analyst,35
345798,University of Pennsylvania,Clinical Research Assistant,55
429092,Norac Additives,Lab Technician Co-op,35
392317,University of Penn School of Medicine,Scientific Writing and Clinical Research,35
350122,University of Penn School of Medicine,Clinical Medical Innovation Project Assistant,65
436444,Thomas Jefferson University,Research Assistant,15
428402,Thomas Jefferson University,Orthopaedic Research Scientist,25
358495,Thomas Jefferson University,Research Assistant,50
432125,Lakernick Health and Wellness,Diagnostics Technician,30
432697,Children's Hospital of Philadelphia,Public Health Communication Co-op,25
339071,"Success Rehabilitation, Inc. ",Structured Day Treatment/Cognitive Rehab Therapist Assistant,20
436286,ConMed,R and D Engineering Co-op,40
436278,Syensqo ,Home Personal Care - CoOp,15
436211,Syensqo ,Technology Team - Synthesis,20
436210,Syensqo ,Technology Team - Synthesis - CoOp Encap,40
436127,Ivy Rehab Physical Therapy,Physical Therapy Aide - Art Museum District,30
419974,Crown Bakeries ,Co-op R&D Baker,20
416654,Crown Bakeries ,Co-op Process/Project Engineer,35
433192,Ivy Rehab Physical Therapy,Physical Therapy Aide,35
437162,"USDA, Agricultural Research Service, Eastern Regional",Laboratory Research Assistant,40
437132,Merck,Global Large Molecule Science and Technology Co-op,45
425953,University of Pennsylvania,Research Technician,40
431579,GPS of New Jersey MD PC,Plastic and Reconstructive Surgeon Shadow/Representative,20
415058,"Colorcon, Inc.",Associate Product Development Scientist,45
418347,"Colorcon, Inc.",Product Development - Chemist,15
436921,Johnson & Johnson,"Emerging Tech Co-Op - Spring House, PA",62
419040,The Lumen Center,Medical Assistant,5
425580,ProScribe,Entry Level Medical Scribe,45
418747,Children's Hospital of Philadelphia,CVAP Clinical Coordinator,40
436840,Merck,Global Supplier Management Group Indirect Procurement Scope 3 Environmental Sustainability Co-op,75
436833,Merck,"NASCM Logistics, Compliance, and Engineering Co-op",55
436741,Drexel University,Drexel DREAM Scholar Research Assistant and Trainee in Aging,55
422796,ReMed of Collage Rehabilitation Partners,"Brain Injury Specialist, New Jersey",30
426246,ReMed of Collage Rehabilitation Partners,"Brain Injury Specialist, Suburban Phila. (Chester County, PA)",30
436603,Vittoria Biotherapetics,Research Specialist,30
436601,Wills Eye Institute,Ophthalmic Technician,30
436581,Merck,Vaccine Manufacturing Co-op,20
426761,Children's Hospital of Philadelphia,Nursing Research Assistant Co-Op Lvl I,20
426295,Children's Hospital of Philadelphia,Nursing Co-Op Lvl I Endocrine/Diabetes,45
424479,University of Pennsylvania,Reproductive Laboratory Scientist,20
436549,Merck,Clinical Trial Slide Files Spring 2025 Co-op,40
436547,Merck,Global Supplier Management Group Direct Materials / CAPEX Co-op,60
436546,Merck,Research and Development Sourcing and Procurement Co-op,55
436539,Merck,Global Quality Large Molecule Analytical Sciences Co-op,25
420224,Boehringer Laboratories,Product and Business Development Co-Op,55
428804,Root Cause Insights,Research Analyst,65
431561,DVIRC ,Advanced Technology Scouting Co-op,60
430122,"Noramco of DE, Inc.",Engineering and Maintenance Co-op,45
344319,"Noramco of DE, Inc.",Supply Chain Co-op,45
344237,"Noramco of DE, Inc.","Environmental, Health, and Safety Co-op",20
344028,"Noramco of DE, Inc.",Process Engineering Co-op,30
427565,Bryn Mawr Medical Associates Cardiology,Patient Services Coordinator/Medical Assistant,45
411574,Thomas Jefferson University Hospital,Coordinator: Medical School Research,40
427777,"Aqua Pennsylvania, Inc.",Water Quality Co-op (Treatment),25
429839,IMCD,Lab Technician Co-op,20
428280,Northern Children's Services,Behavioral Health Technician (Wellness & Resiliency Program),35
421396,University Square Dental Associates ,Administrative /Dental assistant,25
421394,University Square Dental Associates ,Administrative Assistant,35
437103,Secant Group,Drug Delivery Co-op,40
437101,Secant Group,Medical Devices Co-op,25
437089,Crayola,Crayola R+D Product Development Co-Op (Spring 2024) - O'Connor,50
437088,Crayola,Crayola R+D Product Development Co-Op (Spring 2024) - Young,30
437087,Crayola,Crayola R+D Product Development Co-Op (Spring 2025) - Moskal,35
427562,Philadelphia Water Department,PWD Material Analyst Co-op/Adam Erying/BLS/1500 E Hunting Park Ave,30
423589,Philadelphia Water Department,"PWD Planning & Research/Demonstration Planning Co-op/Sean McKelvey/Phila, PA 19107",35
433612,Digitas Health ,"Associate, Science and Medicine, Digitas Health",40
429560,Kulicke & Soffa,Process R&D Engineering Co-op,40
422736,Accurate Tool Company,Machinist Co-Op,45
436938,One-D Nano,Lab Scientist,40
434510,Project Joy Studio,Joyful Architecture and/or Material Science/Chemistry Intern,30
436917,"Crazy Aaron Enterprises, Inc.",Materials and Process Engineer,45
421544,Philadelphia Water Department,"PWD Southeast Water Treatment Co-op / Hasib Ahmed/ Philadelphia, PA (new)",15
436896,Criterion Lab Inc.,Laboratory Analyst,20
436872,CERTAINTEED Corporation,Roofing R&D - Asphalt,70
436870,CERTAINTEED Corporation,R&D Gypsum,25
436861,CERTAINTEED Corporation,"R&D Co-Op - Sustainability, Fire and Analytical",40
335495,Estee Lauder/Northtec,Management Co-op (PADC Facility – Distribution/ECOMM Operations),45
436847,CERTAINTEED Corporation,Commercial Roofing R&D,40
317904,Estee Lauder/Northtec,Commercialization and Validation Engineering Co-op (Trevose/Keystone Facility),30
277716,Estee Lauder/Northtec,Management Co-op (Keystone Facility),75
436844,CERTAINTEED Corporation,Roofing R&D Co-Op,58
177653,Estee Lauder/Northtec,Management Co-op (Trevose Facility),65
422875,Johnson Matthey Inc,PGM Refining Technology Co-Op,30
436815,Integral Consulting Inc,Hydrogeologist/Environmental Scientist,20
436799,"Stonhard, Incorporated",R&D Co-op,20
427783,Innophos,"Asphalt Lab, Research and Development Department",40
429332,Innophos,Synthesis and Development Lab,35
436718,"Adesis, Inc. ",Chemistry Co-op Student,10
436717,"Adesis, Inc. ",Analytical Chemistry Co-op Student,10
436716,"Adesis, Inc. ",Manufacturing Analytical Chemistry Co-op Student,20
436714,"Adesis, Inc. ",Manufacturing Chemistry/Engineering Co-op Student,20
429821,West Pharmaceutical Services,Quality Engineering Co-Op,55
436656,Bay Hill Labs,Sample Administrator,45
436595,Syensqo ,Novel Biosurfactants for Agro & HPC Applications - Phys Chem,30
436593,Syensqo ,Biomaterials for Hair Fortification - Phys Chem CoOP,30
436586,Arkema,Applications Chemist,40
436559,Syensqo ,Agricultural Market Lab Coop,30
436483,Syensqo ,Coatings Emulsion Polymerization Co-op,50
429073,Siva Corrosion,Corrosion Technologist,45
435535,Pocono Environmental Education Center,Program Instructor/ Summer Camp Counselor,35
416656,Crown Bakeries ,Co-op QA Specialist,20
335493,Estee Lauder/Northtec,Management Co-op (PADC Facility – Receiving),55
437165,Hovione,Process Engineer/Scientist Co-op,20
437118,Heraeus Inc.,Quality Control Intern,50
437037,Sartomer Company Inc,R&D Chemist,25
370000,Heraeus Inc.,Product Manager Co-op,75
253951,Heraeus Inc.,Research and Development Technician,40
436888,Hillock Anodizing Inc.,Chemical Processor,50
436851,The Chemours Company,Chemical Engineering Co-op,20
436823,"Antares Nuclear, Inc",Quality Engineering Co-op,85
206380,Dontech Inc.,Project and Applications/Quality Engineering Co-op,40
433433,Axalta Coating Systems,Chemistry/Chemical Engineering Co-Op,40
416046,FXI,Research and Development Co-op,20
436380,"USDA, Agricultural Research Service, Eastern Regional",Chemistry / Chemical Engineering Co-op,60
437177,BLOCS,Marketing Assistant Co-op,40
437155,Foreword,Marketing & Operations Assistant,65
424723,Berks County Community Foundation,Marketing Communication Co-op,30
437146,Drexel Urban Health Collaborative,Creative Marketing and Design Communications Co-op,35
429044,Saxbys Coffee,Student Cafe Executive Officer,15
343685,U-Combination,Education Assistant,85
427960,CraftNOW Philadelphia,Project Design and Operations Co-op,40
431455,Drexel University,"Drexel Athletics Marketing Coordinator, External Relations",60
344770,Argyle Interactive,Creative Coordinator Co-op,70
344767,Argyle Interactive,Web Developer  Co-op,85
322382,Argyle Interactive,Social Media Manager Co-op,20
322381,Argyle Interactive,Marketing Developer,45
437116,Digitas Health ,Talent Coordinator,60
426812,Digitas Health ,"Associate Producer, Digitas Health",60
428545,Falkbuilt Philadelphia,Project Coordinator | Office Manager,35
434652,Vondern,Marketing/Entrepreneurship Co-op,55
421494,U.S. SQUASH,Events and Program Support,35
421493,U.S. SQUASH,Marketing and Communications Assistant,45
406574,U.S. SQUASH,Facility Assistant,30
437104,Urban Outfitters,Anthropologie Consumer Insights Co-op,45
437100,Morgan Lewis Bockius,Marketing Assistant Co-Op (Events),45
427628,Morgan Lewis Bockius,Marketing Assistant Co-Op (Public Relations),40
429783,Morgan Lewis Bockius,Business Development Co-Op,45
398855,"ESF, Inc. ",Customer Engagement Co-op,25
418159,"ESF, Inc. ",Recreational Operations Co-op,40
437097,Labademic Incorporated,Non-Profit Media/Graphic Design Co-op,30
437091,Summer Salt,Executive Food Expeditor,10
421859,Legacy Youth Tennis and Education,Sports Marketing and Communications Co-op,30
377734,VestedIn,"WesGold Fellows, Program Coordinator",30
424158,FreeAxez,Marketing Co-op,40
431196,"Goodwin Simon Strategic Research, Inc.",Public Opinion Research Co-op,15
437026,WXPN Radio,Editorial & Digital Content Co-op,25
402234,LandHealth Institute,Social Media and Communications Associate,25
437013,WXPN Radio,NPR World Cafe Co-op,30
422954,Exelon,00067 - Exelon Utilities (EU) Analytics- Business Marketing - BSC Co-Op (Autumn Schieffer),55
436991,Macquarie Group,Marketing Campaign Design and Management Co-op,30
436976,Commonwealth Proper,Showroom Assistant,20
436972,CrossFit Renaissance,Digital Media Co-op,20
436970,Upside Down Crab Bucket Inc,Event Coordinator,35
426807,Digitas Health ,"Account Coordinator, Digitas Health",45
436963,Macquarie Group,U.S. Wealth Channel Marketing Co-op,60
436959,Gravers Lane Gallery,Gallery Co-op - Marketing and Communications,40
429184,"TMNA Services, LLC",Corporate Communications Co-op,40
433277,National Board of Medical Examiners,Technical Communications Analyst,68
433282,National Board of Medical Examiners,Digital Marketing Analyst,70
422099,NewPoint Strategies,Marketing Social Media Co-Op,30
336672,CHUBB,Multinational Accident and Health Insurance Research and Analysis Co-op,65
429687,Project Joy Studio,Joyful Marketing Co-op,40
436918,Commonwealth Proper,Operations/Marketing Assistant,20
436916,YEN Studios,Social Media/PR and Marketing Intern,35
90600,Philadelphia Water Department,"WaterWorks Interpretive Center Co-op / Stacey Heffernan: Philadelphia, PA",20
351114,The Mom Edit ,"Video / YouTube Channel Co-op / Philadelphia, PA",40
369608,The Mom Edit ,Social Media Co-op For Center City Fashion Blog,40
416872,The Mom Edit ,General Co-op For Center City Fashion Blog,20
423237,The Mom Edit ,Editorial Assistant For Center City Fashion Blog,25
436882,Philadelphia Theatre Company,Development and Fundraising Office Intern,30
431018,SocialLadder,Marketing Content Specialist,20
431013,SocialLadder,Marketing Co-Op,35
423324,Summer Salt,Social Media / Photography Co-op,15
436879,Vertex Incorporated,Sales Enablement Content Creation Co-Op,75
436878,Beechwood Property Holdings Management,Real Estate Operations Co-op,45
436877,Vertex Incorporated,International Sales Enablement & Sales Support Co-Op,65
424477,Duane Morris LLP,Legal Recruitment & Development Co-op,60
292074,Duane Morris LLP,"Marketing & Business Development Co-op/Philadelphia, PA",35
436846,Philadelphia Theatre Company,General Management Intern,35
436843,Van Wyck & Van Wyck,Event Co-op,50
436836,Incyte Corporation ,US Market Access Co-Op,38
436832,Incyte Corporation ,Social Media Strategy & Analytics,63
436828,Drexel University,Project Coordinator (Co-op),60
436825,Incyte Corporation ,"US Product Strategy, Co-Op",65
436818,University of Pennsylvania - Athletic Equipment Operations,Social Media Manager of University of Pennsylvania Swimming and Diving,35
436814,MJ Test Prep,Front Desk Personnel and Administration Co-op,45
436807,BlackStar Projects,Impact Analyst,45
435753,Pennsylvania Environmental Council,Program Coordinator,40
435592,Women Against Abuse,Creative Marketing and Fundraising Co-op,35
436806,Michele Marie PR,Michele Marie PR Spring/Summer 2025 Fashion PR Co-op,20
436805,Silvi Specter Consulting LLC,Marketing Co-op,15
433338,Philadelphia Lawyers for Social Equity,Legal Administrative Assistant,35
436803,Drexel University,Social Media Manager/Content Creator,40
434532,Academy of Natural Sciences,Volunteer Program Assistant,35
285632,En Route,"Marketing Co-op: Social Media, Public Relations, Digital Marketing, Content Development",50
341586,Philly AIDS Thrift,Social Media Assistant - Thrift Store,30
430703,Painted Bride Quarterly,Editorial Assistant Co-op,45
436745,Mizu Brand LLC,Digital Marketing Co-op,45
429434,Children's Hospital of Philadelphia,Program Assistant,40
345715,LAGOS,Marketing Co-op,15
436735,Musicopia,Brand Storyteller,40
436733,Sole Provisions,Marketing Co-op - Sole Provisions,45
422467,Ditto PR,"Emerging Tech Communications/PR Co-op, Remote",50
423265,Philadelphia College/Osteopathic Med.,Admissions/Communications Co-op,55
436729,Drexel University,Communication and Programs Coordinator,50
370002,"FEW MODA, INC.",Merchandising/ Buying Co-op - Fashion Industry/NYC,25
419736,Drexel University,Marketing and Communications Assistant Co-op,30
436720,FringeArts,Marketing Co-op,45
436715,Urban Outfitters,URBN SEO Analyst Co-op,65
436713,FringeArts,Patron Services and Venue Administration Co-op,35
356503,Drexel University,Project Assistant,60
372074,Drexel University,Publishing/Editorial Assistant,45
432929,Black Female Therapist,"Mental Health, Animation/Audio/Video/Film Specialist",40
436681,University of Pennsylvania - Athletic Equipment Operations,Fitness and Wellness Co-op,35
436680,University of Pennsylvania - Athletic Equipment Operations,Campus Recreation Co-op,30
436671,Urban Outfitters,Nuuly CRM Co-op,70
431197,Gift of Life Donor Program,Communications and Development Co-op,30
392434,Gift of Life Donor Program,Public Affairs Co-Op,40
436610,The Dougherty Team of Marcus & Millichap,Financial Analyst (Commercial Real Estate Investments),40
436609,The Dougherty Team of Marcus & Millichap,Investment Sales Analyst (Commercial Real Estate Investments),20
426939,Kindercare Learning Center ,Assistant Teacher/Aide (Center City Philadelphia),30
416213,Kindercare Learning Center ,Assistant Teacher/Aide (Chester County),10
411454,Kindercare Learning Center ,Assistant Teacher/Aide (Montgomery County),35
397254,Kindercare Learning Center ,Assistant Teacher/Aide (Delaware County),20
426878,US Dream Academy ,Mentoring Assistant,15
349539,Drexel University,Video Collaboration And Production Support Specialist,75
211303,NRG Consumer East,Sales Ops Analyst,70
436594,GroundTruth,Marketing CooP,50
436592,GroundTruth,Salesforce Associate,60
341131,U.S. Department of Labor,Federal Contractor Compliance Officer Co-op,50
436575,Integrated Work,"Graphic Design, Research, and Operations Support Co-op",30
436563,Cozen O'Connor,Legal Innovation Co-op,85
436558,Social Responsibility Through Me,Marketing Intern,65
339171,Cashman & Associates,"Special Events Co-op / Philadelphia, PA",40
339170,Cashman & Associates,"Public Relations and Marketing Co-op / Philadelphia, PA",30
436555,University City Housing,Amenity and Events Intern,20
287490,Keystone Pictures,TV/STREAM/AV Production Co-Op,30
370043,Drexel University,STEAM Education Assistant,60
429450,Drexel University,Events Coordinator,40
436544,Your Philly Living,Video Production & Social Media Coordinator,35
436542,Echo Hospice of Pennsylvania,Events Coordination Assistant,40
433474,Dental Nachos,Operations and Marketing Assistant,60
361561,"Econsult Solutions, Inc.",Marketing Assistant,35
353885,Jitsik LLC ,"Marketing Research Assistant - Driving Simulation, Virtual Reality Startup",75
433038,Global Citizen,Operations Support,30
433037,Global Citizen,Community Organizer,25
427770,HKA,"Marketing and Communications Associate/Philadelphia, PA",45
